"requirement","status","thesis_action","code_file"
"Full-cohort patent count and active-patenting ATT","built and primary","Main table and event study.","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Full-cohort PQII, forward-citation, and TechDrift outcomes","built; TechDrift is pretrend-qualified","Main/secondary table; qualify TechDrift.","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Initially retained quantity, quality, citations, and TechDrift","built; selected-population interpretation","Retained-inventor section with selection caveat.","02_analysis/R/30_run_lmv2_p5b_secondary_outcomes.R"
"Full-cohort cessation/activity/intensity decomposition","built as accounting decomposition","Mechanism accounting table.","02_analysis/R/36c_estimate_lmv2_exit_decomposition.R"
"Full-cohort extensive/intensive Shapley decomposition","built as accounting decomposition","Extensive/intensive table; intensive part is descriptive.","02_analysis/R/58_build_final_thesis_release_1993.R"
"Initially retained extensive/intensive Shapley decomposition","built as accounting decomposition","Retained extensive/intensive table; intensive part is descriptive.","02_analysis/R/58_build_final_thesis_release_1993.R"
"Local Match formal pretreatment tests","built","Report p-values with outcome tables.","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Short post window (+1 through +3)","built","Robustness table.","02_analysis/R/52_run_lmv2_short_window.R"
"Treatment timing shifted three years early","built and null for count/activity","Robustness table.","02_analysis/R/53_run_lmv2_timing_placebo.R"
"Treatment timing shifted three years late","not identified: pseudo-preperiod overlaps true treatment","State why it is not a valid placebo; do not estimate it.","02_analysis/R/53_run_lmv2_timing_placebo.R"
"CS(2021) not-yet-treated, anticipation 0 and 1","attempted; available cells fail pretrend gate and one did aggregation cell is unavailable","Use as failed-diagnostic evidence, not as a causal main result.","02_analysis/R/51_run_cs2021_1993.R"
"CS(2021) never-treated robustness, anticipation 0 and 1","not identified: repaired CS spine contains zero g=0 never-treated units","State that this robustness is infeasible in the repaired CS spine; Local Match supplies the separate never-observed-target comparison.","02_analysis/R/51_run_cs2021_1993.R"
"Verginer-style matched companion design","built with design-specific support qualification","Co-equal design with its own qualification.","02_analysis/R/24a_run_lmv2_verginer_early_recruitment_p6.R"
"Broader weight/outcome/inference/placebo robustness battery","built","Appendix and compact robustness table.","02_analysis/R/49a_build_lmv2_1993_robustness_release.R"
"Stayer-versus-leaver pre-deal selection comparison","built; retained inventors are positively selected on pre-deal patenting","Discuss direction of selection bias.","02_analysis/R/29a_lmv2_p5b_selection_diagnostics.R"
"Lee bounds for post-treatment retention selection","not identified under defensible maintained assumptions","Remove the promised numerical bounds and state the identification reason.","02_analysis/R/57_certify_selection_bounds_decision.R"
"TechDrift-quality mechanism diagnostic","built as association, not ATT","Mechanism diagnostic only.","02_analysis/R/54_run_lmv2_mechanism_selection.R"
"T_NO_POST_5Y management-transition diagnostic","built; management-transition interpretation not supported","Classification caveat: evidence points away from senior management exit.","02_analysis/R/54_run_lmv2_mechanism_selection.R"
"DealSim tercile, quadratic, and spline patterns","built as exploratory only after failed power gate","Appendix/descriptive figure; no confirmatory inverted-U claim.","02_analysis/R/55_run_dealsim_exploratory.R"
"DealSim by deal-size regime","not estimated after failed DealSim power gate","List as power-gated future work, not a missing regression to fill post hoc.","02_analysis/R/55_run_dealsim_exploratory.R"
"Persistent-team-tie post-acquisition effect","not estimated after failed persistent-tie support gate","List as support-gated future work.","02_analysis/R/56_run_lmv2_network_census.R"
"Inventor productivity and team heterogeneity","built for feasible cells; failed prospective cells remain appendix-only","Report only pre-specified feasible cells and omnibus qualification.","02_analysis/R/31c_estimate_lmv2_inventor_heterogeneity.R"
"VR and retained-inventor heterogeneity","built for cells passing prospective power/balance gates","Report gate outcomes and feasible contrasts.","02_analysis/R/32_run_lmv2_vr_heterogeneity.R"
