"section","result","population","cohort_start","cohort_end","outcome","estimate","ci_low","ci_high","p_value","status","thesis_use","result_file","code_file"
"Main results","Local Match v2 ATT, t=+1,...,+5","Pre-deal target-inventor cohort",1993,2010,"patent_count",-0.0520603086129782,-0.0898254477875322,-0.0146995174967257,0.0074007400740074,"primary","Main thesis estimate with deal-cluster wild-bootstrap inference.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_headline_post_att.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Main results","Local Match v2 ATT, t=+1,...,+5","Pre-deal target-inventor cohort",1993,2010,"active_patenting",-0.0174238710402286,-0.038112836205169,0.00288788163582848,0.0868086808680868,"primary","Main thesis estimate with deal-cluster wild-bootstrap inference.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_headline_post_att.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Main results","Local Match v2 ATT, t=+1,...,+5","Pre-deal target-inventor cohort",1993,2010,"tech_drift",0.00684535654612693,-0.0247193765539785,0.0392793884266767,0.665466546654665,"qualified: joint pretrend rejected","Report as a pretrend-qualified matched contrast; do not make a clean causal claim.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_headline_post_att.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Main results","Local Match v2 ATT, t=+1,...,+5","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",-0.0104116034922407,-0.0196780738841694,-0.00156655062440818,0.0225022502250225,"primary","Main thesis estimate with deal-cluster wild-bootstrap inference.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_headline_post_att.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Main results","Local Match v2 ATT, t=+1,...,+5","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",-0.00215860725873834,-0.121747441053973,0.128181741088184,0.977097709770977,"primary","Main thesis estimate with deal-cluster wild-bootstrap inference.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_headline_post_att.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Identification diagnostic","Local Match joint pretreatment test","Pre-deal target-inventor cohort",1993,2010,"patent_count",NA,NA,NA,1,"passes reporting threshold","Joint test over event times -5;-4;-3;-2.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_joint_pretrend_tests.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Identification diagnostic","Local Match joint pretreatment test","Pre-deal target-inventor cohort",1993,2010,"active_patenting",NA,NA,NA,1,"passes reporting threshold","Joint test over event times -5;-4;-3;-2.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_joint_pretrend_tests.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Identification diagnostic","Local Match joint pretreatment test","Pre-deal target-inventor cohort",1993,2010,"tech_drift",NA,NA,NA,0.012835555933929,"pretrend rejected","Joint test over event times -5;-4;-3;-2.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_joint_pretrend_tests.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Identification diagnostic","Local Match joint pretreatment test","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",NA,NA,NA,0.630686131543174,"passes reporting threshold","Joint test over event times -5;-4;-3;-2.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_joint_pretrend_tests.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Identification diagnostic","Local Match joint pretreatment test","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",NA,NA,NA,0.287580003820166,"passes reporting threshold","Joint test over event times -5;-4;-3;-2.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_ESTIMATION_PRIMARY/p6_joint_pretrend_tests.csv","02_analysis/R/19c_run_lmv2_p6_estimation.R"
"Initially retained","Initially retained matched ATT, t=+1,...,+5","Initially retained inventors",1993,2010,"patent_count",-0.0959086262287739,-0.209792384128735,0.022021690900987,0.103210321032103,"selected-population result","Report with the positive-selection diagnostic and outcome-specific pretrend test.","02_analysis/output/audit/local_match_v2_1993_amendment/RESULT_SUMMARY/stayer_1993_headline.csv","02_analysis/R/28b_run_lmv2_p5b_s4_estimation.R"
"Initially retained","Initially retained matched ATT, t=+1,...,+5","Initially retained inventors",1993,2010,"active_patenting",-0.0114454642845572,-0.0428314249420188,0.0214619695080946,0.482148214821482,"selected-population result","Report with the positive-selection diagnostic and outcome-specific pretrend test.","02_analysis/output/audit/local_match_v2_1993_amendment/RESULT_SUMMARY/stayer_1993_headline.csv","02_analysis/R/28b_run_lmv2_p5b_s4_estimation.R"
"Initially retained","Initially retained matched ATT, t=+1,...,+5","Initially retained inventors",1993,2010,"tech_drift",0.00408015657061435,-0.021627493782884,0.0288829401265934,0.738973897389739,"selected-population result","Report with the positive-selection diagnostic and outcome-specific pretrend test.","02_analysis/output/audit/local_match_v2_1993_amendment/RESULT_SUMMARY/stayer_1993_headline.csv","02_analysis/R/30_run_lmv2_p5b_secondary_outcomes.R"
"Initially retained","Initially retained matched ATT, t=+1,...,+5","Initially retained inventors",1993,2010,"pqii_scaled",-0.0411897379046327,-0.089123293651629,0.00764533029879779,0.0944094409440944,"selected-population result","Report with the positive-selection diagnostic and outcome-specific pretrend test.","02_analysis/output/audit/local_match_v2_1993_amendment/RESULT_SUMMARY/stayer_1993_headline.csv","02_analysis/R/30_run_lmv2_p5b_secondary_outcomes.R"
"Initially retained","Initially retained matched ATT, t=+1,...,+5","Initially retained inventors",1993,2010,"pqii_observed",-0.0281733388529984,-0.0603346509071822,0.00354555101825131,0.0846084608460846,"selected-population result","Report with the positive-selection diagnostic and outcome-specific pretrend test.","02_analysis/output/audit/local_match_v2_1993_amendment/RESULT_SUMMARY/stayer_1993_headline.csv","02_analysis/R/30_run_lmv2_p5b_secondary_outcomes.R"
"Initially retained","Initially retained matched ATT, t=+1,...,+5","Initially retained inventors",1993,2010,"pqii_conditional_mean",-0.00758439984584239,-0.0333994084409921,0.0172921595777917,0.53955395539554,"selected-population result","Report with the positive-selection diagnostic and outcome-specific pretrend test.","02_analysis/output/audit/local_match_v2_1993_amendment/RESULT_SUMMARY/stayer_1993_headline.csv","02_analysis/R/30_run_lmv2_p5b_secondary_outcomes.R"
"Initially retained","Initially retained matched ATT, t=+1,...,+5","Initially retained inventors",1993,2010,"fwcit5w_cassi_total",0.147889132904824,-0.0182293256327064,0.316943435096761,0.0797079707970797,"selected-population result","Report with the positive-selection diagnostic and outcome-specific pretrend test.","02_analysis/output/audit/local_match_v2_1993_amendment/RESULT_SUMMARY/stayer_1993_headline.csv","02_analysis/R/30_run_lmv2_p5b_secondary_outcomes.R"
"Initially retained","Initially retained matched ATT, t=+1,...,+5","Initially retained inventors",1993,2010,"fwcit5w_cassi_per_patent",0.241799911235222,0.0690413249091024,0.421078778722699,0.0048004800480048,"selected-population result","Report with the positive-selection diagnostic and outcome-specific pretrend test.","02_analysis/output/audit/local_match_v2_1993_amendment/RESULT_SUMMARY/stayer_1993_headline.csv","02_analysis/R/30_run_lmv2_p5b_secondary_outcomes.R"
